Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
16,Swadeshi Movement,7,August,1905,India,National Movement,Bengal,Promoted Indian goods; protest against British economic policies,Indian nationalists,Indian National Congress,Positive
17,Green Revolution,Unknown,Unknown,1960,India,Agricultural Revolution,"Punjab, Haryana",Dramatically increased agricultural production,Indian farmers,"M.S. Swaminathan, Norman Borlaug",Positive
18,Operation Blue Star,1,June,1984,India,Military Operation,Amritsar,Removal of armed militants from Golden Temple but led to controversy,Sikh community,"Indian Government, Sikh militants",Negative
19,Kargil War,Unknown,May,1999,India,Military Conflict,"Kargil, Ladakh",India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military",Positive
20,Right to Information Act Enacted,15,June,2005,India,Legislation,India,Empowered citizens to seek information from public authorities,Indian citizens,Government of India,Positive
21,Nirbhaya Case,16,December,2012,India,Criminal Incident,New Delhi,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive
22,Launch of 5G Services,Unknown,October,2022,India,Technology,India,Introduction of 5G technology expected to revolutionize connectivity,"Indian consumers, businesses","Telecom companies, Government of India",Positive
23,Ram Mandir Bhoomi Pujan,5,August,2020,India,Cultural/Religious,Ayodhya,Beginning of the construction of Ram Temple at disputed site,Hindu community,"Government of India, Hindu activists",Positive
24,India's First Hyperloop Project Announcement,Unknown,February,2018,India,Infrastructure,Maharashtra,Proposal for highUnknownspeed transportation system,Potential commuters,"Virgin Hyperloop One, State Government",Positive
25,Indian Independence,15,August,1947,India,Political,India,End of British rule and birth of independent India,All citizens of India,"Indian National Congress, Muslim League",Positive
26,First General Elections,Unknown,October,1951,India,Political,India,Establishment of democratic governance,Indian electorate,Government of India,Positive
27,SinoUnknownIndian War,20,October,1962,India,Military Conflict,Border regions of India,Highlighted the border disputes and led to military and strategic changes,Border communities,"India, China",Negative
28,First Nuclear Test (Smiling Buddha),18,May,1974,India,Nuclear Test,"Pokhran, Rajasthan","India joins the nuclear club, changing its strategic position globally",International community,Government of India,Mixed
29,Emergency Declared by Indira Gandhi,25,June,1975,India,Political,India,Period of political unrest and curtailment of civil liberties,Indian citizens,"Indira Gandhi, Government of India",Negative
30,Bhopal Gas Tragedy,3,December,1984,India,Industrial Disaster,"Bhopal, Madhya Pradesh",World's worst industrial disaster,Residents of Bhopal,Union Carbide Corporation,Negative
31,Economic Reforms and Liberalization,Unknown,July,1991,India,Economic Policy,India,Opening of the Indian economy to global markets and investors,"Indian businesses, workers","Manmohan Singh, P.V. Narasimha Rao",Positive
32,Kandahar Hijacking (IC 814),24,December,1999,India,Terrorism,"Kandahar, Afghanistan",Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government",Negative
33,2001 Indian Parliament Attack,13,December,2001,India,Terrorism,New Delhi,Led to increased tensions between India and Pakistan,Indian political system,"Terrorist groups, Government of India",Negative
34,Right to Education Act,4,August,2009,India,Legislation,India,Ensured free and compulsory education for children,Children aged 6 to 14,Government of India,Positive
35,Article 370 Revocation for Jammu & Kashmir,5,August,2019,India,Political,Jammu & Kashmir,Changed the special status and autonomy of J&K,Residents of J&K,Government of India,Mixed
36,Supreme Court Verdict on Ayodhya,9,November,2019,India,Judiciary,Ayodhya,Paved the way for the construction of a Ram Temple,Hindu and Muslim communities,Supreme Court of India,Mixed
37,Opening of BandraUnknownWorli Sea Link,30,June,2009,India,Infrastructure,Mumbai,Improved connectivity and reduced travel time in Mumbai,Commuters in Mumbai,Government of Maharashtra,Positive
38,Statue of Unity Unveiled,31,October,2018,India,Cultural/Political,Gujarat,"Became the world's tallest statue, symbolizing unity",Indian citizens,Government of India,Positive
39,Triple Talaq Bill Passed,30,July,2019,India,Legislation,India,Made instant triple talaq a criminal offence,Muslim women,Parliament of India,Positive
40,India's First Transgender University,Unknown,January,2020,India,Education,Uttar Pradesh,Empowered the transgender community through education,Transgender community,Dr. Akhilesh Das Gupta Foundation,Positive
41,Nationwide Lockdown due to COVIDUnknown19,24,March,2020,India,Public Health,India,Aimed to prevent the spread of COVIDUnknown19; significant economic impact,Entire population,Government of India,Negative
42,Historic Win in Cricket World Cup 1983,25,June,1983,India,Sports,"Lord's, England","Marked India's first Cricket World Cup win, boosting the sport's popularity",Indian sports fans,Indian cricket team,Positive
43,2013 Uttarakhand Floods,Unknown,June,2013,India,Natural Disaster,Uttarakhand,Severe floods causing massive destruction and loss of life,"Residents, pilgrims","State Government, National Disaster Response Force",Negative
44,Indian Mars Orbiter Mission Success,24,September,2014,India,Space Exploration,Mars,"Made India the first Asian nation to reach Mars orbit, and at first attempt",Indian scientific community,ISRO,Positive
45,India Wins ICC T20 World Cup 2007,24,September,2007,India,Sports,South Africa,Boosted the popularity of T20 cricket in India and worldwide,Indian sports fans,Indian cricket team,Positive
46,India's Demonetisation Campaign,8,November,2016,India,Economic Policy,Nationwide,"Aimed to curb illegal cash holdings, and promote digital transactions",Entire population,"Government of India, Prime Minister Narendra Modi",Mixed
47,Introduction of UPI (Unified Payment Interface),Unknown,April,2016,India,Financial Technology,Nationwide,"Revolutionized digital payments in India, making transactions simple and fast","Indian consumers, businesses",National Payments Corporation of India (NPCI),Positive
48,Jio Telecom Launch,5,September,2016,India,Telecommunications,Nationwide,Dramatically increased internet accessibility and usage in India,Indian population,Reliance Industries,Positive
49,Abolition of Instant Triple Talaq,30,July,2019,India,Legal,Nationwide,Protected Muslim women's rights by making instant triple talaq illegal,Muslim women,Parliament of India,Positive
50,Asiatic Lion Census Showing Population Increase,Unknown,May,2020,India,Wildlife Conservation,Gujarat,"Indicated successful conservation efforts, with an increase in the Asiatic lion population",Asiatic lions,"Wildlife Conservationists, Government of Gujarat",Positive
51,Decriminalisation of Section 377,6,September,2018,India,Legal,Nationwide,"Landmark judgement for LGBTQ+ rights in India, decriminalizing homosexuality",LGBTQ+ community,Supreme Court of India,Positive
52,Launch of ChandrayaanUnknown1,22,October,2008,India,Space Exploration,Moon,"India's first lunar mission, contributing significant findings like water molecules on Moon",Scientific community,Indian Space Research Organisation (ISRO),Positive
53,Start of Swachh Bharat Mission,2,October,2014,India,Environmental/Social,Nationwide,"Aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas",Indian population,"Government of India, Prime Minister Narendra Modi",Positive
54,Pulwama Terrorist Attack,14,February,2019,India,Terrorism,"Pulwama, Jammu and Kashmir",Led to a significant military and diplomatic standoff between India and Pakistan,Indian security forces,JaishUnknowneUnknownMohammed,Negative
55,Historic Solar Alliance Initiative,30,November,2015,India,International Cooperation,"Paris, France",India coUnknownlaunched the International Solar Alliance to promote solar energy globally,Global community,"Government of India, France",Positive
56,GST (Goods and Services Tax) Implementation,1,July,2017,India,Economic Reform,Nationwide,"Unified the country's tax system, replacing multiple indirect taxes with a single tax","Businesses, consumers",Government of India,Positive
57,Citizenship Amendment Act (CAA) Implementation,12,December,2019,India,Legislation,Nationwide,Led to widespread protests due to concerns over citizenship criteria based on religion,Indian citizens,Government of India,Mixed
58,2016 Uri Attack and Subsequent Surgical Strikes,18,September,2016,India,Military,"Uri, Jammu and Kashmir",Led to crossUnknownborder surgical strikes by India against militant launch pads in Pakistan,Military forces,Indian Army,Mixed
59,Formation of Indian National Congress,28,December,1885,India,Political Formation,Bombay,Aimed to obtain a greater share in government for educated Indians.,Indian political leaders,"Allan Octavian Hume, Indian leaders",Positive
60,Partition of Bengal,16,October,1905,India,Administrative,Bengal,Led to widespread nationalistic protests and was eventually reversed in 1911.,People of Bengal,Lord Curzon,Negative
61,Jallianwala Bagh Massacre,13,April,1919,India,Massacre,Amritsar,Galvanized the Indian population against British rule.,People of Amritsar,General Dyer,Negative
62,NonUnknownCooperation Movement,1,August,1920,India,Civil Disobedience Movement,Nationwide,"NonUnknownviolent resistance against British rule, emphasizing swaraj and swadeshi.",Indian civilians,Mahatma Gandhi,Positive
63,Chauri Chaura Incident,4,February,1922,India,Violent Protest,Chauri Chaura,Led to Gandhi halting the NonUnknownCooperation Movement due to violence.,Protesters,Indian protesters,Negative
64,Dandi March,12,March,1930,India,Civil Disobedience,Dandi,"Protest against the salt tax and British monopoly, pivotal in the independence movement.","Mahatma Gandhi, followers",Mahatma Gandhi,Positive
65,First Round Table Conference,Unknown,November,1930,UK,Conference,London,Aimed at discussing constitutional reforms; boycotted by the Congress.,"Indian princely states, British officials",British government,Mixed
66,Purna Swaraj Declaration,26,January,1930,India,Political Declaration,Lahore,The declaration of complete independence from British rule by the Congress.,Indian National Congress,Indian National Congress,Positive
67,Quit India Movement,8,August,1942,India,Mass Protest,Bombay,Called for an orderly British withdrawal from India.,"Indian National Congress, Indian civilians","Mahatma Gandhi, Indian National Congress",Positive
68,Cripps Mission,Unknown,March,1942,India,Negotiation,New Delhi,Proposed Indian dominion status after WWII; rejected by Indian leaders.,Indian leaders,Sir Stafford Cripps,Negative
69,Bengal Famine of 1943,Unknown,Unknown,1943,India,Famine,Bengal,Led to widespread criticism of British war policies and their impact on Indian civilians.,People of Bengal,British administration,Negative
70,Partition Plan Announced,3,June,1947,India,Political Decision,New Delhi,Announced the creation of India and Pakistan as separate nations.,People of India and Pakistan,Lord Mountbatten,Negative
71,Integration of Princely States,Unknown,Unknown,1947,India,Political Integration,Various,Unified India by integrating princely states into the Indian Union.,"Princely states, Indian Union",Sardar Vallabhbhai Patel,Positive
72,Constitution of India Adopted,26,January,1950,India,Constitutional Adoption,New Delhi,"India became a sovereign, socialist, secular, democratic republic.",Indian citizens,Constituent Assembly of India,Positive
79,Reserve Bank of India (RBI),1,April,1935,India,Central Banking Institution,Calcutta (now Kolkata),"Regulates the issue of banknotes, maintains reserves to secure monetary stability, and operates the currency and credit system of the country.","Indian economy, global investors",British Government (preUnknownindependence),Positive
80,Indian Space Research Organisation (ISRO),15,August,1969,India,Space Agency,Bangalore,"Leads India's space exploration and satellite deployment, contributing to national development and global space science.","Global scientific community, Indian population",Government of India,Positive
81,Bharatiya Janata Party (BJP),6,April,1980,India,Political Party,New Delhi,"Major political party in India, influencing the country's political landscape and governance policies.",Indian citizens,"Atal Bihari Vajpayee, L.K. Advani",Positive
82,Securities and Exchange Board of India (SEBI),12,April,1988,India,Regulatory Body,Mumbai,"Regulates the securities market in India, protecting investors and promoting the development of the securities market.","Investors, financial market participants",Government of India,Positive
83,Taj Mahal,Unknown,Unknown,1653,India,Mausoleum,Agra,"A UNESCO World Heritage Site, symbolizing love, and an architectural marvel of the Mughal era.","Global tourists, historians",Emperor Shah Jahan,Positive
84,Golden Temple (Harmandir Sahib),Unknown,Unknown,1585,India,Religious Shrine,Amritsar,"The spiritual and cultural center for the Sikh religion, known for its goldUnknownplated facade.","Sikhs, global pilgrims",Guru Arjan,Positive
85,Creation of Pakistan,14,August,1947,Pakistan,Country Formation,Pakistan,Establishment of Pakistan as a separate nation for Muslims of the Indian subcontinent.,Muslims in Indian subcontinent,Muhammad Ali Jinnah,Positive
86,First IndoUnknownPak War,22,October,1947,Pakistan,Military Conflict,Kashmir,Conflict over the princely state of Kashmir leading to ongoing disputes.,Residents of Kashmir,India and Pakistan,Negative
87,Pakistan Joins the United Nations,30,September,1947,Pakistan,International Relations,New York,"Pakistan becomes a member of the UN, starting its journey in international diplomacy.",Global community,Government of Pakistan,Positive
88,First Constitution of Pakistan,23,March,1956,Pakistan,Constitutional,Pakistan,"Pakistan becomes an Islamic republic, adopting its first constitution.",Pakistani citizens,Constituent Assembly of Pakistan,Positive
89,East Pakistan demands autonomy,7,March,1971,Pakistan,Political Movement,Dhaka,Sheikh Mujibur Rahman's historic speech demanding autonomy for East Pakistan.,People of East Pakistan,Sheikh Mujibur Rahman,Mixed
90,Independence of Bangladesh,16,December,1971,Pakistan,Country Formation,East Pakistan,"Resulted in the secession of East Pakistan, becoming Bangladesh.",People of Bangladesh,"Indian Armed Forces, Mukti Bahini",Mixed
91,Pakistan's Nuclear Tests (ChagaiUnknownI),28,May,1998,Pakistan,Nuclear Test,"Chagai, Balochistan","Pakistan becomes a nuclear power, conducting its first successful nuclear tests.",International community,Government of Pakistan,Mixed
92,Kargil Conflict,Unknown,Unknown,1999,Pakistan,Military Conflict,"Kargil, Kashmir",A military conflict between India and Pakistan in the Kargil district of Kashmir.,Citizens of India and Pakistan,India and Pakistan,Negative
93,2005 Kashmir Earthquake,8,October,2005,Pakistan,Natural Disaster,"Kashmir, Pakistan","A devastating earthquake affecting Kashmir region, causing widespread damage and casualties.",Residents of Kashmir,"Government of Pakistan, International Aid",Negative
94,Assassination of Benazir Bhutto,27,December,2007,Pakistan,Political,Rawalpindi,The assassination of the former Prime Minister of Pakistan and a major political figure.,Pakistani citizens,Unknown assailants,Negative
95,Operation ZarbUnknowneUnknownAzb,15,June,2014,Pakistan,Military Operation,North Waziristan,A military operation against insurgent groups in North Waziristan part of the War on Terror.,Residents of North Waziristan,Pakistan Armed Forces,Positive
96,2014 Peshawar School Massacre,16,December,2014,Pakistan,Terrorism,Peshawar,"A terrorist attack on the Army Public School, resulting in massive casualties, mostly children.","Students, teachers, families",TehrikUnknowniUnknownTaliban Pakistan,Negative
97,ChinaUnknownPakistan Economic Corridor (CPEC) Agreement,20,April,2015,Pakistan,Economic/Infrastructure,Pakistan,A collection of infrastructure projects that are under construction throughout Pakistan.,Pakistani citizens,"Government of Pakistan, China",Positive
98,Panama Papers Case & Disqualification of PM Nawaz Sharif,28,July,2017,Pakistan,Political Corruption,Islamabad,Led to the disqualification of Prime Minister Nawaz Sharif from holding public office.,Pakistani citizens,Supreme Court of Pakistan,Mixed
99,Kartarpur Corridor Opening,9,November,2019,Pakistan,Diplomatic/Religious,Kartarpur,"A border corridor between Pakistan and India, allowing Sikh pilgrims visaUnknownfree access to a holy site.",Sikh community,Governments of Pakistan and India,Positive
100,FATF Grey List,Unknown,Unknown,2018,Pakistan,International Finance,"Paris, France",Pakistan placed on the 'grey list' by the Financial Action Task Force for terror financing and money laundering risks.,Pakistani economy,Financial Action Task Force (FATF),Negative
101,Imran Khan Elected as Prime Minister,18,August,2018,Pakistan,Political,Islamabad,"Marks the first time a former cricketer transitioned to the Prime Minister, promising reform.",Pakistani citizens,Pakistan TehreekUnknowneUnknownInsaf (PTI),Positive
102,Abolition of FATA,31,May,2018,Pakistan,Administrative,Federally Administered Tribal Areas,"Integrated the tribal regions into the Khyber Pakhtunkhwa province, aiming to mainstream the governance.",Residents of FATA,Government of Pakistan,Positive
103,2019 Pulwama Attack and IndiaUnknownPakistan Standoff,14,February,2019,Pakistan,Military/Political,"Pulwama, India","Led to heightened military tensions between India and Pakistan, including crossUnknownborder air strikes.",Citizens of India and Pakistan,"JaishUnknowneUnknownMohammed, Governments of India and Pakistan",Negative
104,MinarUnknowneUnknownPakistan Construction,23,March,1960,Pakistan,Monument,Lahore,Symbolizes freedom and the independence of Pakistan.,Pakistani citizens,Government of Pakistan,Positive
105,Lahore Resolution (Pakistan Resolution),23,March,1940,Pakistan,Political Declaration,Lahore,A formal political statement that called for greater Muslim autonomy in British India.,Muslims in British India,AllUnknownIndia Muslim League,Positive
106,Siachen Glacier Conflict,Unknown,Unknown,1984,Pakistan,Military Conflict,Siachen Glacier,A military conflict between India and Pakistan over the disputed Siachen Glacier region in Kashmir.,Indian & Pakistani militaries,India and Pakistan,Negative
107,Indus Water Treaty,19,September,1960,Pakistan,International Agreement,Karachi,"A waterUnknowndistribution treaty between India and Pakistan, brokered by the World Bank.",Residents of India and Pakistan,"India, Pakistan, World Bank",Positive
108,Pakistan Atomic Energy Commission Establishment,1956,Unknown,1956,Pakistan,Scientific Organization,Islamabad,Established to oversee the nuclear energy and research projects in Pakistan.,Pakistani population,Government of Pakistan,Positive
109,Nationalization in Pakistan,Unknown,Unknown,1972,Pakistan,Economic Policy,Nationwide,"The government took control of private industries, banks, and educational institutions.","Business owners, general public",Zulfikar Ali Bhutto,Mixed
110,Islamabad Declaration,22,January,1980,Pakistan,International Relations,Islamabad,An Islamic summit that led to the creation of the Economic Cooperation Organization (ECO).,ECO member states,Leaders of MuslimUnknownmajority countries,Positive
111,Motorway Network Development,Unknown,Unknown,1997,Pakistan,Infrastructure,Nationwide,Development of a network of motorways to improve transportation and trade.,Pakistani citizens,Government of Pakistan,Positive
112,Women's Protection Bill,15,November,2006,Pakistan,Legislation,Islamabad,Aims to amend and strengthen laws related to women's rights and protection.,Women in Pakistan,Parliament of Pakistan,Positive
113,Malala Yousafzai's Nobel Peace Prize,10,December,2014,Pakistan,International Recognition,"Oslo, Norway",Awarded for her struggle against the suppression of children and young people and for the right of all children to education.,Global community,"Malala Yousafzai, Kailash Satyarthi",Positive
114,ChinaUnknownPakistan Friendship Highway Completion,Unknown,Unknown,1986,Pakistan,Infrastructure,Khunjerab Pass to Hassan Abdal,"Part of the Karakoram Highway, symbolizing the strong bilateral relationship between China and Pakistan.","Residents, traders",Governments of China and Pakistan,Positive
115,Benazir Income Support Programme Launch,Unknown,Unknown,2008,Pakistan,Social Welfare Program,Nationwide,A federal unconditional cash transfer poverty reduction program in Pakistan.,LowUnknownincome families,Government of Pakistan,Positive
116,18th Amendment to the Constitution,19,April,2010,Pakistan,Constitutional Amendment,Islamabad,A landmark amendment that devolved significant powers from the federal government to the provinces.,Pakistani citizens,Parliament of Pakistan,Positive
117,Pakistan's First Satellite Launch,16,July,1990,Pakistan,Space Exploration,"Xichang, China","Launch of BadrUnknown1, Pakistan's first indigenously developed and manufactured satellite.",Pakistani scientific community,SUPARCO,Positive
118,Protection of Women Act,29,November,2006,Pakistan,Legislation,Islamabad,Enhances legal protections for women against violence and discrimination.,Women in Pakistan,Parliament of Pakistan,Positive
119,National Database and Registration Authority (NADRA) Establishment,1998,Unknown,1998,Pakistan,Government Agency,Islamabad,Established to maintain a secure and efficient national identity system.,Pakistani citizens,Government of Pakistan,Positive
120,Karachi Nuclear Power Plant Operational,1972,Unknown,1972,Pakistan,Nuclear Energy,Karachi,Marks the beginning of nuclear energy use for peaceful purposes in Pakistan.,Pakistani population,Pakistan Atomic Energy Commission,Positive
121,HEC Digital Library Initiative,2004,Unknown,2004,Pakistan,Education,Nationwide,Provides students and researchers access to international scholarly literature.,"Students, researchers",Higher Education Commission of Pakistan,Positive
122,Gwadar Port Development,22,March,2002,Pakistan,Infrastructure,Gwadar,"Development of a major deepUnknownsea port in the Arabian Sea, aiming to enhance trade.","Pakistani economy, regional trade","Government of Pakistan, China",Positive
123,National Action Plan Against Terrorism,24,December,2014,Pakistan,Security Policy,Nationwide,A comprehensive action plan for tackling terrorism in Pakistan following the Peshawar school massacre.,Pakistani citizens,Government of Pakistan,Positive
124,Independence from British Rule,4,February,1948,Sri Lanka,Political,Colombo,Marked the end of British colonial rule and the beginning of selfUnknowngovernance.,Sri Lankan citizens,Don Stephen Senanayake,Positive
125,Sinhala Only Act,5,June,1956,Sri Lanka,Legislation,Sri Lanka,"Made Sinhala the sole official language, exacerbating ethnic tensions.",Sinhalese and Tamil populations,Solomon Bandaranaike,Negative
126,1983 Black July Riots,23,July,1983,Sri Lanka,Ethnic Conflict,"Colombo, others",Triggered a civil war between the Sri Lankan government and LTTE.,"Sri Lankan Tamils, general population",Various groups and individuals,Negative
127,Tsunami Disaster,26,December,2004,Sri Lanka,Natural Disaster,Coastal Sri Lanka,"One of the deadliest natural disasters in Sri Lanka, leading to significant loss of life and displacement.","Coastal residents, general population",Unknown,Negative
128,End of the Civil War,18,May,2009,Sri Lanka,Military,Mullaitivu,Ended nearly three decades of conflict between the Sri Lankan government and LTTE.,"Sri Lankan citizens, especially Tamils","Mahinda Rajapaksa, Sri Lankan Armed Forces",Positive
129,Introduction of Free Education Act,Unknown,Unknown,1945,Sri Lanka,Education Policy,Sri Lanka,Established free education from primary to postUnknowngraduate levels.,"Students, educators",C.W.W. Kannangara,Positive
130,Republican Constitution of 1972,22,May,1972,Sri Lanka,Constitutional,Colombo,"Transitioned Ceylon to a republic named Sri Lanka, affirming sovereignty.",Sri Lankan citizens,Sirimavo Bandaranaike,Positive
131,Establishment of the Mahaweli Development Project,Unknown,Unknown,1977,Sri Lanka,Infrastructure Development,Mahaweli River,"Aimed at irrigation and hydroelectric power generation, significantly impacting agriculture and energy supply.","Residents, farmers",Government of Sri Lanka,Positive
132,1987 IndoUnknownSri Lanka Accord,29,July,1987,Sri Lanka,International Agreement,Colombo,"Aimed to resolve the civil war and ensure Tamil rights, leading to Indian Peace Keeping Force deployment.","Sri Lankan Tamils, general population","J.R. Jayewardene, Rajiv Gandhi",Mixed
133,2002 Ceasefire Agreement with LTTE,22,February,2002,Sri Lanka,Peace Process,Nationwide,"A temporary halt in hostilities, aiming for a lasting peace solution.",ConflictUnknownaffected populations,"Ranil Wickremesinghe, LTTE",Mixed
134,Victory over Terrorism Day,18,May,2010,Sri Lanka,Commemoration,Nationwide,Marks the end of the civil war and the defeat of LTTE.,Sri Lankan citizens,Government of Sri Lanka,Positive
135,Establishment of the Central Bank of Sri Lanka,28,August,1950,Sri Lanka,Economic Policy,Colombo,Centralized control over monetary policy and financial system regulation.,Economic sectors,Government of Sri Lanka,Positive
136,First Executive President Elected,4,February,1978,Sri Lanka,Political,Sri Lanka,"Introduced a new constitution and the executive presidency, changing the governance structure.",Sri Lankan citizens,J.R. Jayewardene,Mixed
137,Free Health Policy Implementation,Unknown,Unknown,1951,Sri Lanka,Health Policy,Sri Lanka,"Provided universal free healthcare, improving public health standards.",Sri Lankan citizens,Government of Sri Lanka,Positive
138,2019 Easter Bombings,21,April,2019,Sri Lanka,Terrorism,"Colombo, others",A series of coordinated terrorist suicide bombings targeting churches and hotels.,"Christians, tourists",National Thowheeth Jama'ath,Negative
139,Establishment of the University of Ceylon,Unknown,Unknown,1942,Sri Lanka,Education Development,Colombo,"The first university in Sri Lanka, marking a milestone in higher education.","Students, academics",Government of Sri Lanka,Positive
140,Land Reform Law Enacted,Unknown,Unknown,1972,Sri Lanka,Land Policy,Sri Lanka,Redistributed land to address disparities and promote agricultural development.,"Landless peasants, farmers",Government of Sri Lanka,Mixed
141,Women's Franchise Act Passed,Unknown,Unknown,1931,Sri Lanka,Legislation,Sri Lanka,"Granted voting rights to women, significantly ahead of many other countries.",Women in Sri Lanka,British Colonial Government,Positive
142,Establishment of Sri Lanka Broadcasting Corporation,Unknown,Unknown,1967,Sri Lanka,Media Development,Colombo,"Asia's oldest radio station, contributing to the media landscape and cultural preservation.",Sri Lankan citizens,Government of Sri Lanka,Positive
143,Sigiriya Designated as a UNESCO World Heritage Site,Unknown,Unknown,1982,Sri Lanka,Cultural Heritage,Sigiriya,"Recognition of the ancient rock fortress for its historical, archaeological, and artistic value.",Global and local tourists,UNESCO,Positive
149,Invention of Paper by Cai Lun,Unknown,Unknown,105,China,Scientific,Imperial court,Revolutionized the way information was recorded and transmitted through ages.,Global population,Cai Lun,Positive
150,Introduction of Buddhism to China,Unknown,Unknown,0,China,Religious/Cultural,Han Dynasty China,"Significantly influenced Chinese culture, philosophy, and society for centuries.",Chinese society,Buddhist missionaries,Positive
151,Construction of the Great Wall,Unknown,Unknown,600,China,Architectural/Defensive,Northern China,A series of fortifications built across northern borders of China for protection and border control.,Chinese empire,Various Chinese dynasties,Mixed
152,Tang Dynasty's Golden Age,Unknown,Unknown,618,China,Cultural/Economic,Chang'an,"A period of relative peace, prosperity, and cultural achievement that influenced East Asia.",Chinese and neighboring countries,"Emperor Taizong, Wu Zetian",Positive
153,Founding of the Song Dynasty,Unknown,Unknown,960,China,Dynastic Founding,Kaifeng,"Initiated advancements in technology, culture, and economics, including the use of gunpowder in warfare.",Chinese population,Emperor Taizu,Positive
154,Mongol Conquest and the Yuan Dynasty Establishment,Unknown,Unknown,1271,China,Military/Political,Mongol Empire,"Marked the first time China was ruled by foreign conquerors, leading to significant cultural exchanges.",Chinese population,Kublai Khan,Mixed
155,Fall of the Ming Dynasty and Rise of the Qing,Unknown,Unknown,1644,China,Dynastic Transition,China,The transition brought about significant changes in administration and expansion of territory.,Chinese population,"Li Zicheng, Manchu leaders",Mixed
156,The Opium Wars and Treaty of Nanjing,Unknown,Unknown,1842,China,International Conflict,Nanjing,Led to the opening of treaty ports and the cession of Hong Kong to Britain.,Chinese population,"Qing Dynasty, British Empire",Negative
157,Taiping Rebellion,Unknown,Unknown,1850,China,Civil War,Southern China,"One of the deadliest military conflicts in history, challenging the Qing Dynasty's rule.",Chinese population,Hong Xiuquan,Negative
158,Xinhai Revolution and the End of Imperial China,10,October,1911,China,Political,Wuchang,"Overthrew the Qing Dynasty, leading to the establishment of the Republic of China.",Chinese population,Sun YatUnknownsen,Positive
159,Long March,Unknown,Unknown,1934,China,Military/Strategic Retreat,Jiangxi to Shaanxi,A strategic retreat by the Chinese Communist Party's Red Army to evade the pursuit of the Kuomintang army.,CCP followers,Mao Zedong,Positive
160,Cultural Revolution,Unknown,Unknown,1966,China,Political/Social Movement,Nationwide,Aimed at preserving Chinese communism by purging remnants of capitalist and traditional elements.,Chinese population,Mao Zedong,Negative
161,Handover of Hong Kong,1,July,1997,China,International Agreement,Hong Kong,Marked the return of Hong Kong from British to Chinese sovereignty.,Residents of Hong Kong,British and Chinese governments,Mixed
162,China Hosts the Olympic Games,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
163,Silk Road Establishment,Unknown,Unknown,150,China,Trade Route Development,China to the Mediterranean,"Facilitated trade and cultural exchanges between the East and West, significantly impacting ancient world economies.","Traders, various civilizations",Han Dynasty,Positive
164,Invention of Gunpowder,Unknown,Unknown,850,China,Scientific,China,"Led to revolutionary changes in warfare and later, global military technologies.",Global population,Chinese alchemists,Mixed
